文献番号,発明の名称,要約,請求の範囲,FI,Fターム,IPC,公知日,出願人/権利者,引用文献
JP2012-100081A,鋼板の表面処理方法,鋼板表面を化成処理して塗装密着性を高める方法。,鋼板を化成処理する方法。,C23C22/00,4K026AA01,C23C22/00,2012-05-10,湾岸電池株式会社,
JP2014-100120A,ガラスの強化方法,ガラスを加熱後に急冷する風冷強化法。,ガラスを風冷強化する方法。,C03B27/04,4G015AA01,C03B27/04,2014-10-13,北陸熱処理株式会社,
JP2015-100016A,自動車用高強度鋼板の熱処理方法（第2実施形態）,自動車部材に用いる高強度鋼板を加熱後に急冷し、マルテンサイト組織を得る焼入れ熱処理方法。,高強度鋼板を加熱し急冷する工程を備える熱処理方法。,C22C38/00;C21D9/46;C21D1/18,4K037AA01;4K037EA01;4K037FA02,C22C38/00;C21D9/46,2015-02-09,中央金属工業株式会社,JP2013-100014A;JP2018-100019A
JP2023-100076A,高強度鋼板のレーザ切断方法,高強度鋼板をレーザで切断する方法。,高強度鋼板をレーザ切断する方法。,B23K26/38;C22C38/00,4E168AA01,B23K26/38,2023-05-10,海洋軽金属株式会社,
JP2018-100033A,鋼線の焼入れ焼戻し方法,鋼線を連続的に加熱・急冷して焼入れし、鉛浴で焼戻しする。,鋼線を焼入れ焼戻しする方法。,C21D9/52;C21D1/18,4K037AA06,C21D9/52,2018-06-06,北陸熱処理株式会社,
JP2022-100059A,鋼板の連続鋳造方法,鋼板用スラブを連続鋳造する方法。,スラブを連続鋳造する方法。,B22D11/00,4E004AA01,B22D11/00,2022-11-10,南北スチール株式会社,
JP2017-100054A,溶融亜鉛めっき高強度鋼板,高強度鋼板の表面に溶融亜鉛めっきを施し耐食性を高めた鋼板。,溶融亜鉛めっき層を有する高強度鋼板。,C23C2/06;C22C38/00,4K027AA01;4K037AA01,C23C2/06,2017-06-03,北陸熱処理株式会社,
JP2014-100051A,鋼板の連続鋳造方法,鋼板用スラブを連続鋳造する方法。,スラブを連続鋳造する方法。,B22D11/00,4E004AA01,B22D11/00,2014-11-23,湾岸電池株式会社,
JP2022-100113A,チタン合金の熱処理方法,チタン合金を溶体化・時効処理する方法。,チタン合金を熱処理する方法。,C22F1/18;C22C14/00,4K018AA05,C22F1/18,2022-08-28,山手化成株式会社,
JP2023-100099A,鋼板搬送装置,コイルから巻き出した鋼板を搬送するローラ装置。,鋼板を搬送する装置。,B65G39/00,3F033AA01,B65G39/00,2023-05-02,山手化成株式会社,
JP2009-100046A,溶融亜鉛めっき高強度鋼板,高強度鋼板の表面に溶融亜鉛めっきを施し耐食性を高めた鋼板。,溶融亜鉛めっき層を有する高強度鋼板。,C23C2/06;C22C38/00,4K027AA01;4K037AA01,C23C2/06,2009-10-15,東西製鉄株式会社,
JP2021-100022A,高強度鋼部材の焼入れ焼戻し方法および装置,自動車用の高強度鋼部材を加熱・焼入れした後、焼戻しにより靭性を回復させる方法。,高強度鋼部材を焼入れする工程と焼戻しする工程を備える方法。,C22C38/04;C21D9/46,4K037AA01;4K037EA02,C22C38/04;C21D9/46,2021-11-14,北陸熱処理株式会社,JP2018-100007A;JP2023-100024A
JP2023-100012A,ハイテン材の急冷処理装置および方法（第2実施形態）,ハイテン材（高強度鋼板）に対して加熱後に急冷を行う焼入れ処理装置。冷却速度の制御により均一な硬さを得る。,高強度鋼板を加熱する加熱部と、急冷する冷却部とを備える焼入れ装置。,C22C38/04;C21D9/46,4K037AA01;4K037EA02,C22C38/04;C21D9/46,2023-04-11,南北スチール株式会社,JP2019-100020A;JP2021-100022A
JP2011-100048A,高強度鋼板用塗料組成物,高強度鋼板の防錆に用いる塗料組成物。,高強度鋼板用の塗料組成物。,C09D5/08,4J038AA01,C09D5/08,2011-01-03,海洋軽金属株式会社,
JP2017-100032A,高強度鋼板の焼戻し方法,焼入れ済みの高強度鋼板を焼戻しして靭性を調整する方法。,高強度鋼板を焼戻しする工程を備える方法。,C22C38/00;C21D9/46,4K037AA01;4K037EA03,C21D9/46,2017-03-21,南北スチール株式会社,
JP2011-100117A,鋼板搬送装置,コイルから巻き出した鋼板を搬送するローラ装置。,鋼板を搬送する装置。,B65G39/00,3F033AA01,B65G39/00,2011-04-22,海洋軽金属株式会社,
JP2013-100089A,半導体装置の製造方法,半導体基板に熱処理を施してドーパントを活性化する方法。,半導体基板を熱処理する方法。,H01L21/324,5F140AA01,H01L21/324,2013-03-13,山手化成株式会社,
JP2013-100050A,高強度鋼板のプレス成形方法,高強度鋼板を常温でプレス成形し、スプリングバックを抑制する方法。,高強度鋼板をプレス成形する方法。,B21D22/20;C22C38/00,4E137AA01,B21D22/20,2013-09-08,山手化成株式会社,
JP2010-100025A,厚鋼板の焼入れ方法,厚鋼板を加熱後に水冷して焼入れする方法。橋梁や建築構造物向け。,厚鋼板を焼入れする工程を備える方法。,C21D9/46;C22C38/00,4K037AA01;4K037EA01,C21D9/46,2010-02-26,南北スチール株式会社,
JP2014-100067A,鋼板の連続鋳造方法,鋼板用スラブを連続鋳造する方法。,スラブを連続鋳造する方法。,B22D11/00,4E004AA01,B22D11/00,2014-07-01,北陸熱処理株式会社,
JP2010-100079A,高強度鋼板の抵抗スポット溶接方法,高強度鋼板同士を抵抗スポット溶接する際の電流制御方法。,高強度鋼板をスポット溶接する方法。,B23K11/11;C22C38/00,4E165AA01,B23K11/11,2010-09-22,海洋軽金属株式会社,
JP2012-100103A,アルミニウム合金の焼入れ方法,アルミニウム合金を溶体化処理後に急冷して焼入れし、時効硬化させる方法。,アルミニウム合金を焼入れする方法。,C22F1/04;C22C21/00,4K018AA01,C22F1/04,2012-11-18,湾岸電池株式会社,
JP2010-100063A,高強度鋼板の抵抗スポット溶接方法,高強度鋼板同士を抵抗スポット溶接する際の電流制御方法。,高強度鋼板をスポット溶接する方法。,B23K11/11;C22C38/00,4E165AA01,B23K11/11,2010-10-10,東西製鉄株式会社,
JP2019-100034A,高強度鋼板の焼準処理,高強度鋼板を焼準（ノルマライジング）により組織を均一化する方法。,高強度鋼板を焼準する方法。,C22C38/00;C21D1/28,4K037AA01,C21D1/28,2019-01-10,北陸熱処理株式会社,
JP2016-100053A,高強度鋼板の冷間圧延方法,高強度鋼板を冷間圧延して板厚精度を高める方法。,高強度鋼板を冷間圧延する工程を備える方法。,C21D8/02;C22C38/00,4K037AA01;4E002AA01,C21D8/02,2016-02-08,海洋軽金属株式会社,
JP2018-100007A,高強度鋼板の連続焼入れライン,高強度鋼板を連続的に加熱し、ガスジェット冷却で急冷して焼入れする連続処理ライン。,鋼板を連続搬送しながら加熱し急冷する焼入れライン。,C22C38/04;C21D9/46,4K037AA01;4K037EA02,C22C38/04;C21D9/46,2018-06-26,北陸熱処理株式会社,JP2012-100013A;JP2013-100014A
JP2014-100015A,高強度鋼板の連続焼入れライン（第2実施形態）,高強度鋼板を連続的に加熱し、ガスジェット冷却で急冷して焼入れする連続処理ライン。,鋼板を連続搬送しながら加熱し急冷する焼入れライン。,C22C38/38;C21D9/46;C21D1/18,4K037AA01;4K037EB01,C22C38/38;C21D9/46,2014-09-26,北陸熱処理株式会社,JP2015-100004A;JP2014-100003A
JP2008-100061A,高強度鋼板の冷間圧延方法,高強度鋼板を冷間圧延して板厚精度を高める方法。,高強度鋼板を冷間圧延する工程を備える方法。,C21D8/02;C22C38/00,4K037AA01;4E002AA01,C21D8/02,2008-10-22,山手化成株式会社,
JP2023-100114A,樹脂成形品の製造方法,熱可塑性樹脂を射出成形して成形品を得る方法。,樹脂を射出成形する方法。,B29C45/00,4F206AA01,B29C45/00,2023-12-25,北陸熱処理株式会社,
JP2011-100080A,高強度鋼板用塗料組成物,高強度鋼板の防錆に用いる塗料組成物。,高強度鋼板用の塗料組成物。,C09D5/08,4J038AA01,C09D5/08,2011-07-22,東西製鉄株式会社,
JP2015-100044A,高強度鋼板の焼準処理,高強度鋼板を焼準（ノルマライジング）により組織を均一化する方法。,高強度鋼板を焼準する方法。,C22C38/00;C21D1/28,4K037AA01,C21D1/28,2015-04-26,東西製鉄株式会社,
JP2019-100008A,自動車用高強度鋼板の熱処理方法,自動車部材に用いる高強度鋼板を加熱後に急冷し、マルテンサイト組織を得る焼入れ熱処理方法。,高強度鋼板を加熱し急冷する工程を備える熱処理方法。,"C22C38/06,301;C21D9/46@A;C21D1/18",4K037AA01;4K037FA03;4E029AA01,C22C38/06;C21D1/18,2019-01-15,東西製鉄株式会社,JP2021-100010A;JP2021-100022A
JP2023-100060A,高強度鋼板のレーザ切断方法,高強度鋼板をレーザで切断する方法。,高強度鋼板をレーザ切断する方法。,B23K26/38;C22C38/00,4E168AA01,B23K26/38,2023-05-14,南北スチール株式会社,
JP2023-100024A,自動車用高強度鋼板の熱処理方法および装置,自動車部材に用いる高強度鋼板を加熱後に急冷し、マルテンサイト組織を得る焼入れ熱処理方法。,高強度鋼板を加熱し急冷する工程を備える熱処理方法。,C22C38/58;C21D9/46,4K037AA02;4K037EA01,C22C38/58;C21D9/46,2023-04-12,南北スチール株式会社,
JP2021-100058A,高強度鋼板のプレス成形方法,高強度鋼板を常温でプレス成形し、スプリングバックを抑制する方法。,高強度鋼板をプレス成形する方法。,B21D22/20;C22C38/00,4E137AA01,B21D22/20,2021-03-13,海洋軽金属株式会社,
JP2021-100074A,高強度鋼板のプレス成形方法,高強度鋼板を常温でプレス成形し、スプリングバックを抑制する方法。,高強度鋼板をプレス成形する方法。,B21D22/20;C22C38/00,4E137AA01,B21D22/20,2021-01-18,北陸熱処理株式会社,
JP2013-100042A,高強度鋼板の焼戻し方法,焼入れ済みの高強度鋼板を焼戻しして靭性を調整する方法。,高強度鋼板を焼戻しする工程を備える方法。,C22C38/00;C21D9/46,4K037AA01;4K037EA03,C21D9/46,2013-05-16,中央金属工業株式会社,
JP2014-100090A,鋼板搬送装置,コイルから巻き出した鋼板を搬送するローラ装置。,鋼板を搬送する装置。,B65G39/00,3F033AA01,B65G39/00,2014-07-21,海洋軽金属株式会社,
JP2013-100014A,高強度鋼部材の焼入れ焼戻し方法（第2実施形態）,自動車用の高強度鋼部材を加熱・焼入れした後、焼戻しにより靭性を回復させる方法。,高強度鋼部材を焼入れする工程と焼戻しする工程を備える方法。,C22C38/58;C21D9/46,4K037AA02;4K037EA01,C22C38/58;C21D9/46,2013-02-06,南北スチール株式会社,JP2014-100015A;JP2014-100003A
JP2015-100068A,高強度鋼板のレーザ切断方法,高強度鋼板をレーザで切断する方法。,高強度鋼板をレーザ切断する方法。,B23K26/38;C22C38/00,4E168AA01,B23K26/38,2015-05-11,湾岸電池株式会社,
JP2009-100078A,溶融亜鉛めっき高強度鋼板,高強度鋼板の表面に溶融亜鉛めっきを施し耐食性を高めた鋼板。,溶融亜鉛めっき層を有する高強度鋼板。,C23C2/06;C22C38/00,4K027AA01;4K037AA01,C23C2/06,2009-03-13,山手化成株式会社,
JP2011-100040A,厚鋼板の焼入れ方法,厚鋼板を加熱後に水冷して焼入れする方法。橋梁や建築構造物向け。,厚鋼板を焼入れする工程を備える方法。,C21D9/46;C22C38/00,4K037AA01;4K037EA01,C21D9/46,2011-07-27,南北スチール株式会社,
JP2013-100104A,チタン合金の熱処理方法,チタン合金を溶体化・時効処理する方法。,チタン合金を熱処理する方法。,C22F1/18;C22C14/00,4K018AA05,C22F1/18,2013-11-17,海洋軽金属株式会社,
JP2009-100100A,高強度コンクリートの製造方法,高強度コンクリートを製造するための配合と養生方法。,高強度コンクリートの製造方法。,C04B28/02,4G112AA01,C04B28/02,2009-10-03,湾岸電池株式会社,
JP2012-100013A,耐水素脆化特性に優れた高強度鋼板およびその製造方法（第2実施形態）,高強度鋼板の焼入れ後に低温で焼戻しを行うことにより、水素脆化を抑制し遅れ破壊を防止する。自動車部材向け。,焼入れ後に焼戻しを行う工程を備える高強度鋼板の製造方法。,"C22C38/06,301;C21D9/46@A;C21D1/18",4K037AA01;4K037FA03;4E029AA01,C22C38/06;C21D1/18,2012-12-11,南北スチール株式会社,JP2013-100002A;JP2018-100007A
JP2019-100072A,高強度鋼板用塗料組成物,高強度鋼板の防錆に用いる塗料組成物。,高強度鋼板用の塗料組成物。,C09D5/08,4J038AA01,C09D5/08,2019-03-24,東西製鉄株式会社,
JP2008-100045A,高強度鋼板の冷間圧延方法,高強度鋼板を冷間圧延して板厚精度を高める方法。,高強度鋼板を冷間圧延する工程を備える方法。,C21D8/02;C22C38/00,4K037AA01;4E002AA01,C21D8/02,2008-04-01,山手化成株式会社,
JP2020-100111A,ガラスの強化方法,ガラスを加熱後に急冷する風冷強化法。,ガラスを風冷強化する方法。,C03B27/04,4G015AA01,C03B27/04,2020-10-10,山手化成株式会社,
JP2022-100037A,高強度鋼板の焼戻し方法,焼入れ済みの高強度鋼板を焼戻しして靭性を調整する方法。,高強度鋼板を焼戻しする工程を備える方法。,C22C38/00;C21D9/46,4K037AA01;4K037EA03,C21D9/46,2022-04-25,東西製鉄株式会社,
JP2019-100020A,ハイテン材の急冷処理装置および方法および装置,ハイテン材（高強度鋼板）に対して加熱後に急冷を行う焼入れ処理装置。冷却速度の制御により均一な硬さを得る。,高強度鋼板を加熱する加熱部と、急冷する冷却部とを備える焼入れ装置。,C22C38/38;C21D9/46;C21D1/18,4K037AA01;4K037EB01,C22C38/38;C21D9/46,2019-03-05,南北スチール株式会社,
JP2018-100019A,ホットスタンプ部材の製造方法および装置,高強度鋼板を加熱後に金型内で成形と同時に焼入れするホットスタンプにより、自動車部材を製造する方法。,高強度鋼板を加熱し金型内で焼入れしつつ成形する工程を備える製造方法。,C22C38/58;C21D9/46,4K037AA02;4K037EA01,C22C38/58;C21D9/46,2018-07-15,東西製鉄株式会社,JP2017-100006A;JP2021-100022A
JP2013-100002A,高張力鋼板の焼入れ方法,高張力鋼板を所定温度に加熱し、水冷により急冷して焼入れ組織を得る方法。自動車の車体部品への適用に好適である。,高張力鋼板を加熱し急冷して焼入れする工程を備える焼入れ方法。,C22C38/04;C21D9/46,4K037AA01;4K037EA02,C22C38/04;C21D9/46,2013-04-04,東西製鉄株式会社,JP2020-100009A;JP2016-100005A
JP2016-100069A,高強度鋼板の冷間圧延方法,高強度鋼板を冷間圧延して板厚精度を高める方法。,高強度鋼板を冷間圧延する工程を備える方法。,C21D8/02;C22C38/00,4K037AA01;4E002AA01,C21D8/02,2016-03-12,中央金属工業株式会社,
JP2014-100043A,鋼線の焼入れ焼戻し方法,鋼線を連続的に加熱・急冷して焼入れし、鉛浴で焼戻しする。,鋼線を焼入れ焼戻しする方法。,C21D9/52;C21D1/18,4K037AA06,C21D9/52,2014-02-26,南北スチール株式会社,
JP2008-100077A,高強度鋼板の冷間圧延方法,高強度鋼板を冷間圧延して板厚精度を高める方法。,高強度鋼板を冷間圧延する工程を備える方法。,C21D8/02;C22C38/00,4K037AA01;4E002AA01,C21D8/02,2008-01-23,北陸熱処理株式会社,
JP2016-100017A,高強度鋼板の製造方法および装置,自動車部材に用いる高強度鋼板の製造方法であって、鋼板を加熱した後に焼入れを行い、その後焼戻しを施すことで引張強度と靭性を確保する。,鋼板を加熱した後に焼入れする工程と、焼戻しする工程とを備える高強度鋼板の製造方法。,C22C38/04;C21D9/46,4K037AA01;4K037EA02,C22C38/04;C21D9/46,2016-01-02,中央金属工業株式会社,JP2023-100012A;JP2015-100004A
JP2011-100026A,鋼管の焼入れ装置,鋼管を回転させながら加熱し、外周から急冷して焼入れする装置。,鋼管を焼入れする装置。,C21D9/08;C21D1/18,4K037AA05,C21D9/08,2011-07-17,東西製鉄株式会社,
JP2012-100041A,鋼管の焼入れ装置,鋼管を回転させながら加熱し、外周から急冷して焼入れする装置。,鋼管を焼入れする装置。,C21D9/08;C21D1/18,4K037AA05,C21D9/08,2012-09-28,中央金属工業株式会社,
JP2013-100082A,高強度鋼板のプレス成形方法,高強度鋼板を常温でプレス成形し、スプリングバックを抑制する方法。,高強度鋼板をプレス成形する方法。,B21D22/20;C22C38/00,4E137AA01,B21D22/20,2013-12-28,山手化成株式会社,
JP2012-100049A,鋼板の表面処理方法,鋼板表面を化成処理して塗装密着性を高める方法。,鋼板を化成処理する方法。,C23C22/00,4K026AA01,C23C22/00,2012-12-23,東西製鉄株式会社,
JP2010-100047A,高強度鋼板の抵抗スポット溶接方法,高強度鋼板同士を抵抗スポット溶接する際の電流制御方法。,高強度鋼板をスポット溶接する方法。,B23K11/11;C22C38/00,4E165AA01,B23K11/11,2010-04-20,南北スチール株式会社,
JP2019-100110A,高強度繊維の製造方法,高強度ポリエチレン繊維を紡糸・延伸して製造する方法。,高強度繊維の製造方法。,D01F6/04,4L035AA01,D01F6/04,2019-08-07,山手化成株式会社,
JP2010-100101A,高強度繊維の製造方法,高強度ポリエチレン繊維を紡糸・延伸して製造する方法。,高強度繊維の製造方法。,D01F6/04,4L035AA01,D01F6/04,2010-08-27,中央金属工業株式会社,
JP2020-100057A,鋼板の表面処理方法,鋼板表面を化成処理して塗装密着性を高める方法。,鋼板を化成処理する方法。,C23C22/00,4K026AA01,C23C22/00,2020-11-07,中央金属工業株式会社,
JP2014-100083A,鋼板の連続鋳造方法,鋼板用スラブを連続鋳造する方法。,スラブを連続鋳造する方法。,B22D11/00,4E004AA01,B22D11/00,2014-05-07,東西製鉄株式会社,
JP2014-100029A,高強度鋼板の焼準処理,高強度鋼板を焼準（ノルマライジング）により組織を均一化する方法。,高強度鋼板を焼準する方法。,C22C38/00;C21D1/28,4K037AA01,C21D1/28,2014-10-17,中央金属工業株式会社,
JP2018-100071A,高強度鋼板の抵抗スポット溶接方法,高強度鋼板同士を抵抗スポット溶接する際の電流制御方法。,高強度鋼板をスポット溶接する方法。,B23K11/11;C22C38/00,4E165AA01,B23K11/11,2018-03-03,北陸熱処理株式会社,
JP2018-100055A,高強度鋼板の抵抗スポット溶接方法,高強度鋼板同士を抵抗スポット溶接する際の電流制御方法。,高強度鋼板をスポット溶接する方法。,B23K11/11;C22C38/00,4E165AA01,B23K11/11,2018-05-21,北陸熱処理株式会社,
JP2017-100070A,溶融亜鉛めっき高強度鋼板,高強度鋼板の表面に溶融亜鉛めっきを施し耐食性を高めた鋼板。,溶融亜鉛めっき層を有する高強度鋼板。,C23C2/06;C22C38/00,4K027AA01;4K037AA01,C23C2/06,2017-11-19,中央金属工業株式会社,
JP2022-100011A,ホットスタンプ部材の製造方法（第2実施形態）,高強度鋼板を加熱後に金型内で成形と同時に焼入れするホットスタンプにより、自動車部材を製造する方法。,高強度鋼板を加熱し金型内で焼入れしつつ成形する工程を備える製造方法。,C22C38/00;C21D9/46;C21D1/18,4K037AA01;4K037EA01;4K037FA02,C22C38/00;C21D9/46,2022-10-04,南北スチール株式会社,
JP2013-100066A,高強度鋼板のプレス成形方法,高強度鋼板を常温でプレス成形し、スプリングバックを抑制する方法。,高強度鋼板をプレス成形する方法。,B21D22/20;C22C38/00,4E137AA01,B21D22/20,2013-09-25,南北スチール株式会社,
JP2013-100119A,高強度繊維の製造方法,高強度ポリエチレン繊維を紡糸・延伸して製造する方法。,高強度繊維の製造方法。,D01F6/04,4L035AA01,D01F6/04,2013-04-02,南北スチール株式会社,
JP2020-100073A,鋼板の表面処理方法,鋼板表面を化成処理して塗装密着性を高める方法。,鋼板を化成処理する方法。,C23C22/00,4K026AA01,C23C22/00,2020-08-13,南北スチール株式会社,
JP2015-100004A,ハイテン材の急冷処理装置および方法,ハイテン材（高強度鋼板）に対して加熱後に急冷を行う焼入れ処理装置。冷却速度の制御により均一な硬さを得る。,高強度鋼板を加熱する加熱部と、急冷する冷却部とを備える焼入れ装置。,C22C38/58;C21D9/46,4K037AA02;4K037EA01,C22C38/58;C21D9/46,2015-02-07,東西製鉄株式会社,JP2016-100017A;JP2014-100003A
JP2015-100084A,高強度鋼板のレーザ切断方法,高強度鋼板をレーザで切断する方法。,高強度鋼板をレーザ切断する方法。,B23K26/38;C22C38/00,4E168AA01,B23K26/38,2015-09-17,湾岸電池株式会社,
JP2010-100116A,半導体装置の製造方法,半導体基板に熱処理を施してドーパントを活性化する方法。,半導体基板を熱処理する方法。,H01L21/324,5F140AA01,H01L21/324,2010-11-22,中央金属工業株式会社,
JP2017-100018A,高張力鋼板の焼入れ方法および装置,高張力鋼板を所定温度に加熱し、水冷により急冷して焼入れ組織を得る方法。自動車の車体部品への適用に好適である。,高張力鋼板を加熱し急冷して焼入れする工程を備える焼入れ方法。,"C22C38/06,301;C21D9/46@A;C21D1/18",4K037AA01;4K037FA03;4E029AA01,C22C38/06;C21D1/18,2017-12-24,南北スチール株式会社,JP2022-100011A;JP2019-100020A
JP2012-100065A,鋼板の表面処理方法,鋼板表面を化成処理して塗装密着性を高める方法。,鋼板を化成処理する方法。,C23C22/00,4K026AA01,C23C22/00,2012-05-12,山手化成株式会社,
JP2020-100009A,高強度鋼板の製造方法（第2実施形態）,自動車部材に用いる高強度鋼板の製造方法であって、鋼板を加熱した後に焼入れを行い、その後焼戻しを施すことで引張強度と靭性を確保する。,鋼板を加熱した後に焼入れする工程と、焼戻しする工程とを備える高強度鋼板の製造方法。,C22C38/58;C21D9/46,4K037AA02;4K037EA01,C22C38/58;C21D9/46,2020-08-15,東西製鉄株式会社,JP2021-100010A;JP2023-100012A
JP2014-100105A,樹脂成形品の製造方法,熱可塑性樹脂を射出成形して成形品を得る方法。,樹脂を射出成形する方法。,B29C45/00,4F206AA01,B29C45/00,2014-04-14,東西製鉄株式会社,
JP2020-100021A,耐水素脆化特性に優れた高強度鋼板およびその製造方法および装置,高強度鋼板の焼入れ後に低温で焼戻しを行うことにより、水素脆化を抑制し遅れ破壊を防止する。自動車部材向け。,焼入れ後に焼戻しを行う工程を備える高強度鋼板の製造方法。,C22C38/00;C21D9/46;C21D1/18,4K037AA01;4K037EA01;4K037FA02,C22C38/00;C21D9/46,2020-10-03,南北スチール株式会社,JP2021-100010A;JP2018-100019A
JP2013-100028A,鋼線の焼入れ焼戻し方法,鋼線を連続的に加熱・急冷して焼入れし、鉛浴で焼戻しする。,鋼線を焼入れ焼戻しする方法。,C21D9/52;C21D1/18,4K037AA06,C21D9/52,2013-10-28,南北スチール株式会社,
JP2023-100038A,鋼線の焼入れ焼戻し方法,鋼線を連続的に加熱・急冷して焼入れし、鉛浴で焼戻しする。,鋼線を焼入れ焼戻しする方法。,C21D9/52;C21D1/18,4K037AA06,C21D9/52,2023-08-19,北陸熱処理株式会社,
JP2022-100023A,高強度鋼板の連続焼入れラインおよび装置,高強度鋼板を連続的に加熱し、ガスジェット冷却で急冷して焼入れする連続処理ライン。,鋼板を連続搬送しながら加熱し急冷する焼入れライン。,"C22C38/06,301;C21D9/46@A;C21D1/18",4K037AA01;4K037FA03;4E029AA01,C22C38/06;C21D1/18,2022-02-03,南北スチール株式会社,
JP2017-100108A,鋼板搬送装置,コイルから巻き出した鋼板を搬送するローラ装置。,鋼板を搬送する装置。,B65G39/00,3F033AA01,B65G39/00,2017-12-27,湾岸電池株式会社,
JP2017-100093A,ガラスの強化方法,ガラスを加熱後に急冷する風冷強化法。,ガラスを風冷強化する方法。,C03B27/04,4G015AA01,C03B27/04,2017-12-28,中央金属工業株式会社,
JP2015-100091A,高強度コンクリートの製造方法,高強度コンクリートを製造するための配合と養生方法。,高強度コンクリートの製造方法。,C04B28/02,4G112AA01,C04B28/02,2015-11-21,湾岸電池株式会社,
JP2018-100094A,アルミニウム合金の焼入れ方法,アルミニウム合金を溶体化処理後に急冷して焼入れし、時効硬化させる方法。,アルミニウム合金を焼入れする方法。,C22F1/04;C22C21/00,4K018AA01,C22F1/04,2018-10-13,南北スチール株式会社,
JP2016-100107A,半導体装置の製造方法,半導体基板に熱処理を施してドーパントを活性化する方法。,半導体基板を熱処理する方法。,H01L21/324,5F140AA01,H01L21/324,2016-06-10,東西製鉄株式会社,
