レビュー本文,カテゴリ,商品,価格,購入回数,評価
レインコートを購入。値段の割に安っぽい。音がうるさくて使えない。期待外れでがっかり。また利用したいと思います。,衣料,レインコート,3400,6,低評価
セールでオリーブオイルを注文しました。梱包も丁寧で好印象。友人にも勧めたい。想像より軽くて扱いやすい。星5つです。,食品,オリーブオイル,800,4,高評価
スニーカーを購入。期待外れでがっかり。音がうるさくて使えない。星2つです。,衣料,スニーカー,3300,6,低評価
手袋を家族用に買いました。サイズが合わず返品しました。写真と全然違う。音がうるさくて使えない。コスパが最高。2点。,衣料,手袋,10400,6,低評価
初めて参考書を試しました。特に不満はありません。到着は予定どおりでした。他と比べていないので分かりません。以上、参考になれば。,書籍,参考書,1700,1,高評価
小説を購入。毎日使っています。普通に使えます。,書籍,小説,3100,5,高評価
口コミを見てイヤホンを選びました。音がうるさくて使えない。期待以上でした。総合的には不満。,家電,イヤホン,27400,3,低評価
Tシャツのレビューです。リピート確定です。期待以上でした。また利用したいと思います。,衣料,Tシャツ,12500,1,高評価
歯ブラシを購入。初期不良でした。音がうるさくて使えない。説明と違う商品が届いた。以上、参考になれば。,日用品,歯ブラシ,2700,1,低評価
手袋を家族用に買いました。値段の割に安っぽい。総合的には不満。,衣料,手袋,6200,1,低評価
手袋を購入。説明書どおりの性能。また利用したいと思います。,衣料,手袋,7200,5,普通
小説のレビューです。買ってよかった。デザインが気に入っています。コスパが最高。総合的には満足。,書籍,小説,2800,4,高評価
セールでハンドソープを注文しました。デザインが気に入っています。友人にも勧めたい。,日用品,ハンドソープ,2600,5,高評価
口コミを見て料理本を選びました。買ってよかった。リピート確定です。星5つです。,書籍,料理本,2700,4,高評価
初めてタオルを試しました。リピート確定です。値段の割に安っぽい。,日用品,タオル,2300,5,普通
口コミを見てスニーカーを選びました。写真と全然違う。初期不良でした。,衣料,スニーカー,6600,3,低評価
初めてマスクを試しました。音がうるさくて使えない。二度と買いません。また利用したいと思います。,日用品,マスク,2200,3,低評価
電気ケトルを家族用に買いました。すぐに壊れました。以上、参考になれば。,家電,電気ケトル,20800,6,低評価
レインコートを家族用に買いました。想像より軽くて扱いやすい。品質が良く長持ちしそう。また利用したいと思います。,衣料,レインコート,17700,3,高評価
セールで歯ブラシを注文しました。とても使いやすいです。星5つです。,日用品,歯ブラシ,2600,4,高評価
セールでダウンジャケットを注文しました。友人にも勧めたい。普通に使えます。以上、参考になれば。,衣料,ダウンジャケット,14000,2,高評価
セールでマスクを注文しました。家族にも好評。友人にも勧めたい。可もなく不可もなく。総合的には満足。,日用品,マスク,1600,3,高評価
セールでレトルトカレーを注文しました。説明と違う商品が届いた。,食品,レトルトカレー,500,6,低評価
初めて収納ボックスを試しました。普通に使えます。まだ数回しか使っていません。到着は予定どおりでした。以上、参考になれば。,日用品,収納ボックス,2400,6,普通
緑茶を家族用に買いました。友人にも勧めたい。とても使いやすいです。また利用したいと思います。,食品,緑茶,4000,6,高評価
セールでダウンジャケットを注文しました。到着は予定どおりでした。特に不満はありません。普通に使えます。また利用したいと思います。,衣料,ダウンジャケット,19300,3,普通
口コミを見て掃除機を選びました。説明書どおりの性能。値段相応だと思います。思ったより大きめでした。また利用したいと思います。,家電,掃除機,35000,5,普通
初めて小説を試しました。家族にも好評。リピート確定です。また利用したいと思います。,書籍,小説,3000,6,高評価
スニーカーのレビューです。毎日使っています。リピート確定です。特に不満はありません。星5つです。,衣料,スニーカー,2100,4,高評価
漫画を購入。想像より軽くて扱いやすい。梱包も丁寧で好印象。家族にも好評。,書籍,漫画,1400,1,高評価
スニーカーを家族用に買いました。すぐに壊れました。匂いが気になります。期待外れでがっかり。また利用したいと思います。,衣料,スニーカー,13000,5,低評価
掃除機のレビューです。初期不良でした。二度と買いません。,家電,掃除機,10900,4,低評価
オリーブオイルを購入。特に不満はありません。到着は予定どおりでした。3点。,食品,オリーブオイル,600,6,普通
口コミを見てコーヒー豆を選びました。毎日使っています。コスパが最高。とても使いやすいです。総合的には満足。,食品,コーヒー豆,700,6,高評価
ビジネス書のレビューです。毎日使っています。梱包も丁寧で好印象。初期不良でした。,書籍,ビジネス書,1700,1,高評価
セールでマスクを注文しました。デザインが気に入っています。家族にも好評。総合的には満足。,日用品,マスク,2200,6,高評価
口コミを見て炊飯器を選びました。到着は予定どおりでした。他と比べていないので分かりません。また利用したいと思います。,家電,炊飯器,33800,3,普通
収納ボックスのレビューです。期待以上でした。リピート確定です。コスパが最高。,日用品,収納ボックス,2000,2,高評価
初めてレトルトカレーを試しました。他と比べていないので分かりません。思ったより大きめでした。まだ数回しか使っていません。以上、参考になれば。,食品,レトルトカレー,3900,5,普通
料理本を購入。匂いが気になります。値段の割に安っぽい。サポートの対応が悪かった。1点。,書籍,料理本,3000,5,低評価
セールでオリーブオイルを注文しました。品質が良く長持ちしそう。とても使いやすいです。以上、参考になれば。,食品,オリーブオイル,2700,2,高評価
初めて参考書を試しました。可もなく不可もなく。以上、参考になれば。,書籍,参考書,2900,2,普通
スニーカーを購入。想像より軽くて扱いやすい。以上、参考になれば。,衣料,スニーカー,20000,5,高評価
口コミを見てパスタを選びました。想像より軽くて扱いやすい。家族にも好評。コスパが最高。4点。,食品,パスタ,700,1,高評価
口コミを見てドライヤーを選びました。写真と全然違う。説明書が分かりにくい。値段の割に安っぽい。品質が良く長持ちしそう。総合的には不満。,家電,ドライヤー,33100,3,低評価
口コミを見て歯ブラシを選びました。家族にも好評。コスパが最高。4点。,日用品,歯ブラシ,2900,3,高評価
口コミを見てチョコレートを選びました。すぐに壊れました。説明書が分かりにくい。説明書どおりの性能。総合的には不満。,食品,チョコレート,2600,5,低評価
チョコレートを家族用に買いました。二度と買いません。写真と全然違う。リピート確定です。総合的には不満。,食品,チョコレート,1100,5,低評価
セールでイヤホンを注文しました。音がうるさくて使えない。サポートの対応が悪かった。値段の割に安っぽい。また利用したいと思います。,家電,イヤホン,16300,2,低評価
イヤホンのレビューです。説明書が分かりにくい。色が写真と少し違いました。総合的には不満。,家電,イヤホン,12500,5,低評価
オリーブオイルを家族用に買いました。音がうるさくて使えない。期待外れでがっかり。写真と全然違う。1点。,食品,オリーブオイル,1700,6,低評価
初めて参考書を試しました。サポートの対応が悪かった。星2つです。,書籍,参考書,1600,3,低評価
オリーブオイルのレビューです。特に不満はありません。普通に使えます。また利用したいと思います。,食品,オリーブオイル,900,3,普通
レインコートのレビューです。サイズが合わず返品しました。星1つです。,衣料,レインコート,2500,2,低評価
口コミを見て小説を選びました。リピート確定です。想像より軽くて扱いやすい。,書籍,小説,3700,6,高評価
スニーカーのレビューです。毎日使っています。説明と違う商品が届いた。総合的には満足。,衣料,スニーカー,12300,2,高評価
初めてオリーブオイルを試しました。他と比べていないので分かりません。普通に使えます。以上、参考になれば。,食品,オリーブオイル,3800,3,普通
ダウンジャケットのレビューです。二度と買いません。初期不良でした。匂いが気になります。1点。,衣料,ダウンジャケット,12800,5,低評価
初めてコーヒー豆を試しました。想像より軽くて扱いやすい。また利用したいと思います。,食品,コーヒー豆,700,5,高評価
マスクを家族用に買いました。色が写真と少し違いました。特に不満はありません。値段相応だと思います。星3つです。,日用品,マスク,1200,5,普通
料理本を家族用に買いました。想像より軽くて扱いやすい。コスパが最高。デザインが気に入っています。可もなく不可もなく。,書籍,料理本,2200,2,高評価
セールで漫画を注文しました。リピート確定です。梱包も丁寧で好印象。デザインが気に入っています。5点。,書籍,漫画,3300,2,普通
レトルトカレーを購入。可もなく不可もなく。到着は予定どおりでした。4点。,食品,レトルトカレー,900,5,普通
口コミを見てリュックを選びました。想像より軽くて扱いやすい。他と比べていないので分かりません。5点。,衣料,リュック,15200,6,高評価
Tシャツのレビューです。説明書が分かりにくい。期待外れでがっかり。二度と買いません。星2つです。,衣料,Tシャツ,5800,3,低評価
初めて写真集を試しました。毎日使っています。デザインが気に入っています。以上、参考になれば。,書籍,写真集,800,4,高評価
セールでリュックを注文しました。リピート確定です。コスパが最高。家族にも好評。総合的には満足。,衣料,リュック,7200,1,高評価
掃除機のレビューです。リピート確定です。想像より軽くて扱いやすい。,家電,掃除機,38000,6,高評価
初めて歯ブラシを試しました。説明と違う商品が届いた。サポートの対応が悪かった。音がうるさくて使えない。色が写真と少し違いました。また利用したいと思います。,日用品,歯ブラシ,2700,6,低評価
セールで炊飯器を注文しました。とても使いやすいです。リピート確定です。以上、参考になれば。,家電,炊飯器,24500,2,高評価
初めてダウンジャケットを試しました。梱包も丁寧で好印象。とても使いやすいです。品質が良く長持ちしそう。星5つです。,衣料,ダウンジャケット,19600,4,高評価
空気清浄機を家族用に買いました。買ってよかった。説明書が分かりにくい。また利用したいと思います。,家電,空気清浄機,33800,1,高評価
炊飯器のレビューです。値段の割に安っぽい。初期不良でした。総合的には不満。,家電,炊飯器,10300,1,低評価
ビジネス書を購入。梱包も丁寧で好印象。家族にも好評。他と比べていないので分かりません。以上、参考になれば。,書籍,ビジネス書,1800,2,高評価
口コミを見て洗剤を選びました。サイズが合わず返品しました。二度と買いません。また利用したいと思います。,日用品,洗剤,1600,4,低評価
炊飯器のレビューです。品質が良く長持ちしそう。総合的には満足。,家電,炊飯器,8800,1,高評価
電気ケトルを家族用に買いました。サポートの対応が悪かった。音がうるさくて使えない。また利用したいと思います。,家電,電気ケトル,4700,2,低評価
セールでコーヒー豆を注文しました。コスパが最高。想像より軽くて扱いやすい。デザインが気に入っています。4点。,食品,コーヒー豆,3000,4,高評価
セールで小説を注文しました。友人にも勧めたい。コスパが最高。以上、参考になれば。,書籍,小説,2100,1,高評価
ビジネス書を購入。他と比べていないので分かりません。特に不満はありません。また利用したいと思います。,書籍,ビジネス書,2200,6,普通
口コミを見て掃除機を選びました。色が写真と少し違いました。可もなく不可もなく。説明と違う商品が届いた。また利用したいと思います。,家電,掃除機,17400,2,普通
初めてドライヤーを試しました。説明書どおりの性能。他と比べていないので分かりません。特に不満はありません。総合的にはまあまあ。,家電,ドライヤー,35100,5,普通
口コミを見てパスタを選びました。特に不満はありません。普通に使えます。星3つです。,食品,パスタ,2400,2,普通
口コミを見て参考書を選びました。二度と買いません。説明書が分かりにくい。総合的には不満。,書籍,参考書,1500,2,普通
マスクのレビューです。写真と全然違う。二度と買いません。星1つです。,日用品,マスク,1700,6,低評価
レインコートを購入。買ってよかった。家族にも好評。想像より軽くて扱いやすい。,衣料,レインコート,15900,6,高評価
口コミを見て緑茶を選びました。コスパが最高。総合的には満足。,食品,緑茶,1300,2,高評価
コーヒー豆のレビューです。普通に使えます。説明書どおりの性能。3点。,食品,コーヒー豆,1200,2,普通
参考書を家族用に買いました。音がうるさくて使えない。説明と違う商品が届いた。星1つです。,書籍,参考書,1500,4,低評価
炊飯器を購入。梱包も丁寧で好印象。品質が良く長持ちしそう。また利用したいと思います。,家電,炊飯器,27800,4,高評価
リュックのレビューです。品質が良く長持ちしそう。期待以上でした。毎日使っています。,衣料,リュック,8200,1,高評価
口コミを見て電気ケトルを選びました。匂いが気になります。期待外れでがっかり。総合的には不満。,家電,電気ケトル,34500,3,低評価
初めて緑茶を試しました。音がうるさくて使えない。すぐに壊れました。特に不満はありません。,食品,緑茶,2400,2,低評価
口コミを見てオリーブオイルを選びました。とても使いやすいです。期待以上でした。総合的には満足。,食品,オリーブオイル,700,3,高評価
イヤホンを家族用に買いました。家族にも好評。品質が良く長持ちしそう。とても使いやすいです。また利用したいと思います。,家電,イヤホン,18100,4,高評価
空気清浄機のレビューです。家族にも好評。想像より軽くて扱いやすい。星4つです。,家電,空気清浄機,6000,4,高評価
歯ブラシを家族用に買いました。可もなく不可もなく。,日用品,歯ブラシ,700,4,普通
セールでハンドソープを注文しました。家族にも好評。リピート確定です。まだ数回しか使っていません。,日用品,ハンドソープ,1900,2,高評価
口コミを見て参考書を選びました。毎日使っています。とても使いやすいです。想像より軽くて扱いやすい。星5つです。,書籍,参考書,4000,1,高評価
ビジネス書を家族用に買いました。他と比べていないので分かりません。色が写真と少し違いました。普通に使えます。総合的にはまあまあ。,書籍,ビジネス書,1100,1,普通
小説を購入。普通に使えます。,書籍,小説,800,1,普通
レトルトカレーのレビューです。説明書どおりの性能。思ったより大きめでした。特に不満はありません。総合的にはまあまあ。,食品,レトルトカレー,1200,2,普通
スニーカーを家族用に買いました。値段の割に安っぽい。説明と違う商品が届いた。すぐに壊れました。以上、参考になれば。,衣料,スニーカー,5600,6,低評価
歯ブラシを家族用に買いました。コスパが最高。デザインが気に入っています。以上、参考になれば。,日用品,歯ブラシ,2900,4,高評価
ダウンジャケットのレビューです。サポートの対応が悪かった。説明と違う商品が届いた。匂いが気になります。以上、参考になれば。,衣料,ダウンジャケット,11200,4,低評価
Tシャツのレビューです。梱包も丁寧で好印象。デザインが気に入っています。星4つです。,衣料,Tシャツ,19100,3,高評価
空気清浄機を購入。初期不良でした。写真と全然違う。2点。,家電,空気清浄機,24800,2,低評価
ドライヤーのレビューです。写真と全然違う。匂いが気になります。,家電,ドライヤー,23700,4,低評価
初めて料理本を試しました。匂いが気になります。期待以上でした。また利用したいと思います。,書籍,料理本,1200,6,低評価
収納ボックスを家族用に買いました。説明書が分かりにくい。匂いが気になります。説明と違う商品が届いた。総合的には不満。,日用品,収納ボックス,1700,1,低評価
Tシャツを購入。サイズが合わず返品しました。サポートの対応が悪かった。友人にも勧めたい。2点。,衣料,Tシャツ,7100,6,低評価
セールで炊飯器を注文しました。コスパが最高。,家電,炊飯器,9900,1,高評価
レトルトカレーを購入。期待以上でした。友人にも勧めたい。デザインが気に入っています。また利用したいと思います。,食品,レトルトカレー,1000,5,高評価
初めてTシャツを試しました。すぐに壊れました。以上、参考になれば。,衣料,Tシャツ,4300,2,低評価
ビジネス書のレビューです。家族にも好評。品質が良く長持ちしそう。以上、参考になれば。,書籍,ビジネス書,2400,4,高評価
セールでイヤホンを注文しました。毎日使っています。デザインが気に入っています。想像より軽くて扱いやすい。星5つです。,家電,イヤホン,31500,6,高評価
チョコレートのレビューです。すぐに壊れました。2点。,食品,チョコレート,1600,2,低評価
緑茶を購入。買ってよかった。デザインが気に入っています。友人にも勧めたい。二度と買いません。星5つです。,食品,緑茶,500,3,高評価
炊飯器を家族用に買いました。他と比べていないので分かりません。まだ数回しか使っていません。リピート確定です。総合的にはまあまあ。,家電,炊飯器,13400,4,普通
緑茶を購入。サイズが合わず返品しました。期待外れでがっかり。また利用したいと思います。,食品,緑茶,1500,1,低評価
パスタを家族用に買いました。コスパが最高。家族にも好評。星5つです。,食品,パスタ,2400,2,高評価
手袋を購入。品質が良く長持ちしそう。友人にも勧めたい。以上、参考になれば。,衣料,手袋,18000,5,低評価
緑茶を家族用に買いました。毎日使っています。説明と違う商品が届いた。以上、参考になれば。,食品,緑茶,500,5,高評価
口コミを見てビジネス書を選びました。値段相応だと思います。説明書どおりの性能。3点。,書籍,ビジネス書,1000,1,普通
セールでレインコートを注文しました。すぐに壊れました。匂いが気になります。以上、参考になれば。,衣料,レインコート,8800,5,低評価
リュックのレビューです。二度と買いません。写真と全然違う。以上、参考になれば。,衣料,リュック,7000,5,低評価
イヤホンを購入。想像より軽くて扱いやすい。品質が良く長持ちしそう。デザインが気に入っています。また利用したいと思います。,家電,イヤホン,36100,6,高評価
口コミを見てTシャツを選びました。サポートの対応が悪かった。サイズが合わず返品しました。以上、参考になれば。,衣料,Tシャツ,8700,4,低評価
ハンドソープを家族用に買いました。まだ数回しか使っていません。普通に使えます。値段相応だと思います。以上、参考になれば。,日用品,ハンドソープ,1000,6,普通
ダウンジャケットを家族用に買いました。特に不満はありません。説明書どおりの性能。他と比べていないので分かりません。,衣料,ダウンジャケット,11300,5,普通
口コミを見て料理本を選びました。可もなく不可もなく。また利用したいと思います。,書籍,料理本,1600,5,普通
緑茶のレビューです。家族にも好評。リピート確定です。特に不満はありません。5点。,食品,緑茶,3900,4,高評価
初めて空気清浄機を試しました。まだ数回しか使っていません。初期不良でした。また利用したいと思います。,家電,空気清浄機,21700,5,普通
口コミを見て収納ボックスを選びました。コスパが最高。梱包も丁寧で好印象。買ってよかった。5点。,日用品,収納ボックス,500,4,高評価
初めて手袋を試しました。説明と違う商品が届いた。また利用したいと思います。,衣料,手袋,13200,5,低評価
セールでイヤホンを注文しました。家族にも好評。また利用したいと思います。,家電,イヤホン,26500,1,高評価
セールで電気ケトルを注文しました。梱包も丁寧で好印象。また利用したいと思います。,家電,電気ケトル,5800,1,高評価
初めてレトルトカレーを試しました。期待以上でした。コスパが最高。想像より軽くて扱いやすい。総合的には満足。,食品,レトルトカレー,2400,6,高評価
ドライヤーを家族用に買いました。家族にも好評。想像より軽くて扱いやすい。以上、参考になれば。,家電,ドライヤー,36300,2,高評価
収納ボックスのレビューです。想像より軽くて扱いやすい。友人にも勧めたい。期待以上でした。総合的には満足。,日用品,収納ボックス,1000,2,高評価
写真集を購入。思ったより大きめでした。まだ数回しか使っていません。色が写真と少し違いました。説明書が分かりにくい。以上、参考になれば。,書籍,写真集,1800,6,普通
タオルを購入。普通に使えます。また利用したいと思います。,日用品,タオル,2800,6,普通
初めてマスクを試しました。二度と買いません。期待外れでがっかり。すぐに壊れました。総合的には不満。,日用品,マスク,2500,3,低評価
初めてハンドソープを試しました。説明書が分かりにくい。1点。,日用品,ハンドソープ,1000,2,低評価
チョコレートのレビューです。とても使いやすいです。期待以上でした。以上、参考になれば。,食品,チョコレート,2300,4,高評価
セールで炊飯器を注文しました。到着は予定どおりでした。色が写真と少し違いました。3点。,家電,炊飯器,32600,3,普通
セールでオリーブオイルを注文しました。普通に使えます。,食品,オリーブオイル,1600,4,普通
イヤホンのレビューです。到着は予定どおりでした。以上、参考になれば。,家電,イヤホン,7900,3,普通
口コミを見てドライヤーを選びました。期待外れでがっかり。匂いが気になります。写真と全然違う。また利用したいと思います。,家電,ドライヤー,18500,1,低評価
セールでチョコレートを注文しました。とても使いやすいです。品質が良く長持ちしそう。デザインが気に入っています。色が写真と少し違いました。また利用したいと思います。,食品,チョコレート,1800,1,高評価
掃除機を購入。写真と全然違う。初期不良でした。とても使いやすいです。また利用したいと思います。,家電,掃除機,23100,5,低評価
口コミを見てオリーブオイルを選びました。毎日使っています。期待以上でした。買ってよかった。説明と違う商品が届いた。4点。,食品,オリーブオイル,2600,4,普通
掃除機を家族用に買いました。写真と全然違う。1点。,家電,掃除機,13100,4,低評価
口コミを見て電気ケトルを選びました。値段相応だと思います。到着は予定どおりでした。品質が良く長持ちしそう。総合的にはまあまあ。,家電,電気ケトル,32800,6,普通
洗剤のレビューです。初期不良でした。期待外れでがっかり。二度と買いません。以上、参考になれば。,日用品,洗剤,500,5,低評価
初めてレインコートを試しました。梱包も丁寧で好印象。友人にも勧めたい。,衣料,レインコート,11700,2,高評価
初めてマスクを試しました。可もなく不可もなく。特に不満はありません。また利用したいと思います。,日用品,マスク,1700,1,普通
