車両説明,メーカー,年式,走行距離_万km,排気量_cc,色,車検,価格_万円
2014年式 トヨタ カローラ 特別仕様車 走行10.0万km 禁煙車 ドライブレコーダー フルセグTV 本革シート サンルーフ,トヨタ,2014,10.0,660,黒,あり,68.4
2017年式 トヨタ プリウス S 走行5.6万km,トヨタ,2017,5.6,1000,パール,あり,83.0
2012年式 スズキ ジムニー X 走行10.8万km バックカメラ 本革シート 両側パワースライドドア LEDヘッドライト 鍵1本のみ,スズキ,2012,10.8,2500,黒,あり,39.8
2016年式 マツダ CX-5 ターボ 走行7.5万km 禁煙車 両側パワースライドドア ディーラー整備記録簿あり ドライブレコーダー 車検切れ 内装に汚れ,マツダ,2016,7.5,1800,青,あり,107.3
2015年式 マツダ CX-5 Z 走行8.9万km ディーラー整備記録簿あり 両側パワースライドドア フルセグTV 純正ナビ,マツダ,2015,8.9,1200,青,あり,103.9
2013年式 トヨタ ハリアー ハイブリッド 走行8.8万km ワンオーナー ドライブレコーダー フルセグTV 禁煙車 内装に汚れ,トヨタ,2013,8.8,1500,白,あり,106.3
2010年式 日産 エクストレイル G 走行14.2万km 本革シート ドライブレコーダー ワンオーナー 衝突被害軽減ブレーキ ディーラー整備記録簿あり,日産,2010,14.2,2000,白,なし,53.9
2015年式 日産 リーフ 4WD 走行8.8万km,日産,2015,8.8,0,青,あり,104.4
2023年式 スバル インプレッサ ハイブリッド 走行0.5万km ワンオーナー ドライブレコーダー LEDヘッドライト ディーラー整備記録簿あり フルセグTV,スバル,2023,0.5,2000,青,あり,258.2
2016年式 日産 リーフ S 走行5.6万km LEDヘッドライト ETC,日産,2016,5.6,0,パール,あり,107.9
2022年式 スバル レヴォーグ 4WD 走行3.0万km,スバル,2022,3.0,2000,黒,あり,272.1
2022年式 マツダ CX-5 特別仕様車 走行0.1万km サンルーフ 禁煙車 ドライブレコーダー 新品タイヤ交換済 修復歴あり 小キズ多数,マツダ,2022,0.1,660,黒,あり,187.8
2020年式 スズキ ハスラー 4WD 走行6.8万km ドライブレコーダー 禁煙車 サンルーフ バックカメラ 衝突被害軽減ブレーキ ナビ地図データ古い,スズキ,2020,6.8,1500,白,なし,98.3
2012年式 日産 ノート Z 走行8.1万km LEDヘッドライト 鍵1本のみ,日産,2012,8.1,1000,黒,なし,32.8
2015年式 スバル インプレッサ ターボ 走行9.4万km 両側パワースライドドア ワンオーナー 新品タイヤ交換済,スバル,2015,9.4,1000,白,あり,70.8
2020年式 スバル インプレッサ 4WD 走行3.1万km バッテリー要交換 ナビ地図データ古い,スバル,2020,3.1,660,黒,あり,130.2
2014年式 トヨタ ハリアー Z 走行4.8万km ETC 新品タイヤ交換済 内装に汚れ,トヨタ,2014,4.8,1800,赤,あり,114.9
2009年式 トヨタ カローラ ハイブリッド 走行13.6万km,トヨタ,2009,13.6,1000,シルバー,あり,21.7
2014年式 マツダ ロードスター 特別仕様車 走行9.6万km ディーラー整備記録簿あり 両側パワースライドドア,マツダ,2014,9.6,1000,パール,あり,74.8
2010年式 スバル インプレッサ 4WD 走行9.2万km 衝突被害軽減ブレーキ LEDヘッドライト 車検切れ,スバル,2010,9.2,660,パール,なし,32.1
2020年式 スバル フォレスター X 走行3.1万km ETC LEDヘッドライト,スバル,2020,3.1,2000,パール,なし,188.0
2013年式 スズキ ジムニー 4WD 走行7.6万km ディーラー整備記録簿あり,スズキ,2013,7.6,2500,黒,なし,48.7
2013年式 ホンダ N-BOX 特別仕様車 走行13.1万km ドライブレコーダー LEDヘッドライト 両側パワースライドドア 小キズ多数,ホンダ,2013,13.1,2500,青,あり,31.8
2010年式 日産 セレナ 特別仕様車 走行11.2万km エアコン効き弱い バッテリー要交換 内装に汚れ,日産,2010,11.2,2000,シルバー,あり,28.3
2022年式 スバル レヴォーグ G 走行1.3万km ワンオーナー 衝突被害軽減ブレーキ ドライブレコーダー LEDヘッドライト 車検切れ,スバル,2022,1.3,1800,シルバー,あり,292.2
2011年式 日産 セレナ S 走行12.4万km 衝突被害軽減ブレーキ,日産,2011,12.4,1000,黒,あり,43.2
2013年式 トヨタ カローラ ハイブリッド 走行10.8万km 衝突被害軽減ブレーキ ディーラー整備記録簿あり 両側パワースライドドア 内装に汚れ,トヨタ,2013,10.8,2500,青,あり,53.3
2021年式 スズキ スイフト X 走行0.1万km,スズキ,2021,0.1,1800,白,なし,99.3
2016年式 ホンダ ステップワゴン X 走行5.6万km,ホンダ,2016,5.6,1000,白,あり,95.0
2012年式 スバル レヴォーグ ターボ 走行8.7万km,スバル,2012,8.7,2000,青,あり,69.8
2015年式 スズキ ジムニー Z 走行5.8万km ディーラー整備記録簿あり 衝突被害軽減ブレーキ,スズキ,2015,5.8,2000,赤,なし,64.1
2016年式 トヨタ ハリアー 4WD 走行6.7万km サンルーフ ETC,トヨタ,2016,6.7,1000,赤,あり,136.0
2014年式 スズキ スイフト 特別仕様車 走行9.5万km 本革シート 両側パワースライドドア ワンオーナー 修復歴あり バッテリー要交換,スズキ,2014,9.5,2000,赤,あり,25.4
2016年式 スバル レヴォーグ G 走行10.6万km フルセグTV サンルーフ 衝突被害軽減ブレーキ 本革シート 車検切れ 内装に汚れ,スバル,2016,10.6,1000,白,あり,113.2
2014年式 日産 ノート G 走行8.8万km タイヤ溝少なめ,日産,2014,8.8,1200,シルバー,なし,32.6
2015年式 トヨタ アルファード ハイブリッド 走行10.5万km,トヨタ,2015,10.5,1500,シルバー,あり,116.3
2020年式 マツダ デミオ X 走行3.3万km ETC 禁煙車 純正ナビ 衝突被害軽減ブレーキ バックカメラ,マツダ,2020,3.3,2000,シルバー,あり,101.9
2023年式 日産 セレナ ターボ 走行0.1万km 本革シート 鍵1本のみ,日産,2023,0.1,1500,パール,なし,275.0
2015年式 スズキ スイフト ターボ 走行6.7万km ディーラー整備記録簿あり 新品タイヤ交換済 衝突被害軽減ブレーキ バックカメラ,スズキ,2015,6.7,2500,青,あり,52.4
2011年式 マツダ ロードスター S 走行13.9万km 衝突被害軽減ブレーキ LEDヘッドライト,マツダ,2011,13.9,2000,青,あり,48.1
2022年式 スズキ スイフト S 走行1.9万km ドライブレコーダー 両側パワースライドドア 衝突被害軽減ブレーキ タイヤ溝少なめ,スズキ,2022,1.9,1200,青,あり,114.0
2015年式 スズキ ジムニー ハイブリッド 走行8.2万km 新品タイヤ交換済 両側パワースライドドア バックカメラ,スズキ,2015,8.2,1500,白,あり,64.0
2009年式 トヨタ アクア 特別仕様車 走行11.6万km ワンオーナー 禁煙車 車検切れ,トヨタ,2009,11.6,2000,パール,あり,22.3
2018年式 マツダ CX-5 Z 走行2.4万km 禁煙車 フルセグTV ETC,マツダ,2018,2.4,1200,白,あり,148.7
2013年式 スズキ ジムニー S 走行11.9万km 新品タイヤ交換済 ワンオーナー 本革シート ドライブレコーダー 両側パワースライドドア 小キズ多数,スズキ,2013,11.9,1000,赤,あり,46.1
2023年式 スバル フォレスター S 走行0.1万km,スバル,2023,0.1,2000,赤,あり,252.8
2019年式 ホンダ ステップワゴン S 走行5.3万km ディーラー整備記録簿あり 両側パワースライドドア 新品タイヤ交換済 ワンオーナー サンルーフ,ホンダ,2019,5.3,1000,パール,あり,190.3
2011年式 スバル インプレッサ 特別仕様車 走行10.8万km,スバル,2011,10.8,1500,黒,なし,33.1
2014年式 スズキ ジムニー G 走行8.7万km 本革シート 純正ナビ LEDヘッドライト 両側パワースライドドア,スズキ,2014,8.7,1200,白,あり,55.2
2010年式 スバル レヴォーグ S 走行13.5万km ドライブレコーダー サンルーフ 純正ナビ,スバル,2010,13.5,1500,パール,なし,51.7
2017年式 スズキ ハスラー S 走行7.6万km LEDヘッドライト タイヤ溝少なめ バッテリー要交換 鍵1本のみ,スズキ,2017,7.6,1500,赤,あり,45.0
2013年式 マツダ デミオ ハイブリッド 走行6.4万km 両側パワースライドドア ドライブレコーダー 純正ナビ,マツダ,2013,6.4,1000,赤,あり,42.5
2022年式 ホンダ ヴェゼル X 走行1.2万km ワンオーナー ドライブレコーダー 本革シート 鍵1本のみ,ホンダ,2022,1.2,1200,赤,なし,221.8
2023年式 ホンダ フィット X 走行0.1万km 本革シート ドライブレコーダー 禁煙車 新品タイヤ交換済,ホンダ,2023,0.1,1200,赤,なし,188.1
2016年式 ホンダ ヴェゼル S 走行8.0万km ETC バックカメラ ディーラー整備記録簿あり ドライブレコーダー LEDヘッドライト,ホンダ,2016,8.0,1800,黒,あり,95.7
2016年式 日産 エクストレイル 特別仕様車 走行7.1万km 本革シート 純正ナビ ETC ワンオーナー,日産,2016,7.1,2500,赤,なし,137.8
2014年式 スバル インプレッサ 4WD 走行10.2万km LEDヘッドライト 純正ナビ,スバル,2014,10.2,1200,シルバー,なし,56.1
2020年式 スバル インプレッサ 4WD 走行0.1万km 両側パワースライドドア 新品タイヤ交換済 ドライブレコーダー 小キズ多数,スバル,2020,0.1,1000,パール,なし,145.7
2018年式 日産 エクストレイル Z 走行2.4万km 新品タイヤ交換済 純正ナビ フルセグTV ETC 内装に汚れ 鍵1本のみ,日産,2018,2.4,660,白,あり,143.7
2020年式 日産 エクストレイル Z 走行2.7万km フルセグTV 純正ナビ ドライブレコーダー LEDヘッドライト ディーラー整備記録簿あり,日産,2020,2.7,1800,黒,あり,220.5
2018年式 スズキ スイフト Z 走行5.9万km LEDヘッドライト バックカメラ 衝突被害軽減ブレーキ 禁煙車 純正ナビ ナビ地図データ古い 車検切れ 小キズ多数,スズキ,2018,5.9,2500,パール,あり,57.4
2015年式 スズキ スイフト 4WD 走行6.7万km 衝突被害軽減ブレーキ 本革シート,スズキ,2015,6.7,2000,白,あり,48.1
2021年式 日産 エクストレイル 4WD 走行1.5万km 純正ナビ ディーラー整備記録簿あり 禁煙車 衝突被害軽減ブレーキ タイヤ溝少なめ バッテリー要交換,日産,2021,1.5,1200,パール,あり,299.0
2017年式 スズキ ハスラー 特別仕様車 走行4.4万km ワンオーナー ディーラー整備記録簿あり ドライブレコーダー 内装に汚れ,スズキ,2017,4.4,1000,白,あり,68.1
2014年式 ホンダ N-BOX S 走行8.4万km 両側パワースライドドア フルセグTV,ホンダ,2014,8.4,1800,赤,あり,36.9
2009年式 スズキ スイフト Z 走行14.2万km 両側パワースライドドア 内装に汚れ,スズキ,2009,14.2,1000,パール,あり,15.0
2022年式 スズキ ハスラー G 走行0.1万km フルセグTV エアコン効き弱い,スズキ,2022,0.1,1200,白,あり,97.8
2011年式 スズキ ハスラー ハイブリッド 走行12.4万km 純正ナビ サンルーフ,スズキ,2011,12.4,2500,赤,あり,24.7
2011年式 日産 エクストレイル 4WD 走行13.6万km 本革シート タイヤ溝少なめ,日産,2011,13.6,1200,パール,あり,53.7
2015年式 スズキ ハスラー 4WD 走行7.9万km,スズキ,2015,7.9,2000,パール,なし,42.9
2018年式 ホンダ ステップワゴン S 走行8.0万km,ホンダ,2018,8.0,660,パール,あり,121.9
2018年式 スバル インプレッサ 4WD 走行6.7万km,スバル,2018,6.7,1200,青,なし,94.4
2022年式 スバル インプレッサ X 走行1.7万km 本革シート 禁煙車 ETC 衝突被害軽減ブレーキ 鍵1本のみ ナビ地図データ古い,スバル,2022,1.7,2500,青,あり,210.0
2020年式 トヨタ アルファード ターボ 走行1.5万km バックカメラ エアコン効き弱い,トヨタ,2020,1.5,1000,赤,あり,234.7
2018年式 ホンダ N-BOX Z 走行5.4万km ワンオーナー バックカメラ サンルーフ LEDヘッドライト 衝突被害軽減ブレーキ ナビ地図データ古い,ホンダ,2018,5.4,1000,赤,あり,76.4
2012年式 日産 ノート ターボ 走行7.1万km 禁煙車 両側パワースライドドア 新品タイヤ交換済 サンルーフ バックカメラ 修復歴あり,日産,2012,7.1,660,青,あり,31.4
2019年式 トヨタ アクア 特別仕様車 走行1.5万km 修復歴あり 鍵1本のみ,トヨタ,2019,1.5,1200,青,なし,51.5
2012年式 日産 エクストレイル X 走行14.5万km 純正ナビ 衝突被害軽減ブレーキ 本革シート 新品タイヤ交換済,日産,2012,14.5,1200,黒,あり,63.9
2018年式 日産 エクストレイル G 走行6.4万km 衝突被害軽減ブレーキ フルセグTV バックカメラ ワンオーナー 車検切れ,日産,2018,6.4,2500,シルバー,なし,137.3
2022年式 スズキ ジムニー G 走行1.9万km ディーラー整備記録簿あり 禁煙車,スズキ,2022,1.9,2000,赤,なし,156.5
2023年式 日産 セレナ S 走行2.1万km サンルーフ ワンオーナー ディーラー整備記録簿あり 両側パワースライドドア,日産,2023,2.1,660,白,なし,318.2
2012年式 スバル インプレッサ S 走行8.8万km バックカメラ 禁煙車 サンルーフ,スバル,2012,8.8,1000,黒,なし,47.3
2023年式 日産 リーフ ターボ 走行0.1万km ワンオーナー 衝突被害軽減ブレーキ 小キズ多数,日産,2023,0.1,0,シルバー,なし,312.1
2011年式 日産 リーフ ターボ 走行14.0万km バックカメラ ETC 両側パワースライドドア ドライブレコーダー 衝突被害軽減ブレーキ バッテリー要交換,日産,2011,14.0,0,白,なし,56.9
2009年式 トヨタ カローラ G 走行14.2万km サンルーフ 衝突被害軽減ブレーキ 車検切れ,トヨタ,2009,14.2,1200,青,あり,22.5
2017年式 マツダ ロードスター X 走行4.9万km 純正ナビ ディーラー整備記録簿あり 禁煙車 ETC フルセグTV,マツダ,2017,4.9,660,青,あり,120.7
2018年式 マツダ デミオ G 走行9.8万km LEDヘッドライト フルセグTV ディーラー整備記録簿あり 衝突被害軽減ブレーキ,マツダ,2018,9.8,1200,赤,なし,72.0
2019年式 トヨタ ハリアー ハイブリッド 走行5.0万km バックカメラ ドライブレコーダー ETC 車検切れ,トヨタ,2019,5.0,1500,シルバー,あり,183.8
2013年式 トヨタ カローラ G 走行9.2万km フルセグTV,トヨタ,2013,9.2,1000,赤,なし,38.7
2010年式 マツダ ロードスター S 走行14.1万km 新品タイヤ交換済 両側パワースライドドア ワンオーナー フルセグTV,マツダ,2010,14.1,2500,パール,なし,46.9
2012年式 マツダ デミオ G 走行9.5万km 本革シート ドライブレコーダー バックカメラ 両側パワースライドドア エアコン効き弱い タイヤ溝少なめ 内装に汚れ,マツダ,2012,9.5,1500,赤,なし,27.6
2015年式 マツダ CX-5 G 走行10.3万km エアコン効き弱い 鍵1本のみ 修復歴あり,マツダ,2015,10.3,1800,白,あり,31.8
2015年式 スズキ ハスラー X 走行8.8万km ナビ地図データ古い 車検切れ,スズキ,2015,8.8,660,黒,あり,32.2
2020年式 スバル レヴォーグ ターボ 走行3.8万km 純正ナビ ETC,スバル,2020,3.8,660,黒,あり,204.5
2011年式 日産 リーフ Z 走行12.9万km,日産,2011,12.9,0,赤,あり,48.4
2009年式 日産 ノート X 走行15.5万km,日産,2009,15.5,1200,パール,なし,17.4
2019年式 スバル レヴォーグ 4WD 走行3.9万km 純正ナビ バックカメラ 禁煙車 ディーラー整備記録簿あり タイヤ溝少なめ 鍵1本のみ,スバル,2019,3.9,1000,パール,あり,200.5
2015年式 トヨタ ハリアー ターボ 走行8.8万km サンルーフ 両側パワースライドドア 本革シート 鍵1本のみ,トヨタ,2015,8.8,1500,青,あり,133.4
2012年式 日産 セレナ ハイブリッド 走行10.8万km 両側パワースライドドア バックカメラ サンルーフ ディーラー整備記録簿あり 車検切れ,日産,2012,10.8,660,黒,あり,66.7
2012年式 日産 エクストレイル G 走行11.8万km LEDヘッドライト エアコン効き弱い,日産,2012,11.8,1800,白,あり,51.0
2020年式 ホンダ ステップワゴン 4WD 走行3.4万km ドライブレコーダー 両側パワースライドドア サンルーフ 本革シート フルセグTV 鍵1本のみ,ホンダ,2020,3.4,1000,赤,あり,236.0
2022年式 スバル フォレスター S 走行0.2万km LEDヘッドライト,スバル,2022,0.2,1000,パール,なし,258.9
2022年式 スズキ スイフト ターボ 走行1.1万km 純正ナビ 衝突被害軽減ブレーキ,スズキ,2022,1.1,2000,赤,あり,126.8
2021年式 スズキ スイフト ハイブリッド 走行3.5万km フルセグTV 本革シート ETC サンルーフ,スズキ,2021,3.5,2500,青,なし,110.5
2019年式 トヨタ ハリアー Z 走行2.7万km バッテリー要交換,トヨタ,2019,2.7,2500,シルバー,なし,175.4
2015年式 トヨタ ハリアー 特別仕様車 走行9.1万km,トヨタ,2015,9.1,1800,シルバー,なし,109.2
2018年式 スズキ ジムニー 特別仕様車 走行5.9万km 純正ナビ 禁煙車 ナビ地図データ古い,スズキ,2018,5.9,1800,白,あり,95.4
2019年式 ホンダ ステップワゴン Z 走行4.9万km 新品タイヤ交換済 衝突被害軽減ブレーキ ドライブレコーダー,ホンダ,2019,4.9,1500,シルバー,あり,159.4
2013年式 スズキ スイフト 特別仕様車 走行10.2万km 衝突被害軽減ブレーキ 両側パワースライドドア バッテリー要交換,スズキ,2013,10.2,2000,赤,あり,35.3
2019年式 ホンダ N-BOX G 走行5.7万km 禁煙車 ディーラー整備記録簿あり サンルーフ ナビ地図データ古い,ホンダ,2019,5.7,2000,赤,なし,92.2
2018年式 日産 リーフ ターボ 走行6.5万km ディーラー整備記録簿あり 新品タイヤ交換済 衝突被害軽減ブレーキ 本革シート バックカメラ,日産,2018,6.5,0,赤,なし,205.7
2015年式 マツダ ロードスター 特別仕様車 走行6.5万km フルセグTV 新品タイヤ交換済 ディーラー整備記録簿あり,マツダ,2015,6.5,660,パール,あり,103.4
2021年式 スバル インプレッサ 4WD 走行3.9万km 衝突被害軽減ブレーキ 本革シート,スバル,2021,3.9,660,シルバー,あり,178.3
2015年式 トヨタ ハリアー ハイブリッド 走行6.3万km 衝突被害軽減ブレーキ フルセグTV,トヨタ,2015,6.3,1000,白,あり,122.2
2011年式 スズキ ハスラー G 走行10.5万km 鍵1本のみ エアコン効き弱い,スズキ,2011,10.5,1800,青,なし,18.2
2020年式 ホンダ N-BOX ターボ 走行4.2万km バックカメラ,ホンダ,2020,4.2,1800,黒,あり,94.2
2015年式 日産 エクストレイル X 走行7.7万km 新品タイヤ交換済 本革シート バックカメラ 両側パワースライドドア 修復歴あり 鍵1本のみ,日産,2015,7.7,2000,シルバー,あり,69.7
2022年式 スバル フォレスター 特別仕様車 走行2.0万km 禁煙車 ドライブレコーダー 本革シート 衝突被害軽減ブレーキ 純正ナビ,スバル,2022,2.0,1500,シルバー,あり,332.2
2013年式 ホンダ ヴェゼル 特別仕様車 走行6.3万km フルセグTV ドライブレコーダー サンルーフ,ホンダ,2013,6.3,2500,パール,なし,71.6
2009年式 マツダ CX-5 S 走行10.8万km 禁煙車,マツダ,2009,10.8,1200,青,あり,38.9
2019年式 スバル インプレッサ ターボ 走行3.7万km 新品タイヤ交換済,スバル,2019,3.7,1200,白,なし,137.3
2017年式 ホンダ ステップワゴン ハイブリッド 走行6.1万km 純正ナビ LEDヘッドライト 禁煙車 新品タイヤ交換済 ETC,ホンダ,2017,6.1,660,赤,なし,154.2
2020年式 トヨタ カローラ ハイブリッド 走行2.9万km ETC 禁煙車 本革シート フルセグTV 純正ナビ,トヨタ,2020,2.9,1500,赤,あり,149.9
2009年式 スズキ スイフト 4WD 走行11.1万km 新品タイヤ交換済 衝突被害軽減ブレーキ 両側パワースライドドア ディーラー整備記録簿あり,スズキ,2009,11.1,1200,赤,あり,22.0
2009年式 ホンダ フィット G 走行13.6万km バックカメラ ディーラー整備記録簿あり 小キズ多数,ホンダ,2009,13.6,1800,白,あり,17.8
2012年式 マツダ CX-5 Z 走行8.9万km フルセグTV ディーラー整備記録簿あり 新品タイヤ交換済 衝突被害軽減ブレーキ バックカメラ,マツダ,2012,8.9,2000,シルバー,あり,75.0
2010年式 日産 ノート X 走行15.7万km バックカメラ タイヤ溝少なめ 鍵1本のみ,日産,2010,15.7,660,黒,なし,18.0
2020年式 ホンダ N-BOX Z 走行4.8万km 衝突被害軽減ブレーキ,ホンダ,2020,4.8,1500,シルバー,あり,86.4
2017年式 ホンダ ヴェゼル ハイブリッド 走行1.9万km 本革シート ディーラー整備記録簿あり 修復歴あり 小キズ多数 ナビ地図データ古い,ホンダ,2017,1.9,660,赤,なし,70.3
2009年式 スバル フォレスター G 走行10.9万km,スバル,2009,10.9,2000,青,あり,41.4
2011年式 スズキ ハスラー 特別仕様車 走行11.1万km フルセグTV 本革シート ディーラー整備記録簿あり 純正ナビ 小キズ多数,スズキ,2011,11.1,1800,青,あり,29.3
2016年式 スズキ スイフト 4WD 走行6.8万km 純正ナビ 衝突被害軽減ブレーキ LEDヘッドライト,スズキ,2016,6.8,2500,パール,あり,54.4
2013年式 ホンダ ステップワゴン X 走行10.0万km ディーラー整備記録簿あり 本革シート,ホンダ,2013,10.0,1200,シルバー,あり,73.5
2016年式 ホンダ ステップワゴン X 走行7.6万km 本革シート サンルーフ,ホンダ,2016,7.6,1800,青,あり,115.5
2010年式 スバル フォレスター X 走行14.3万km ドライブレコーダー 本革シート 禁煙車 ETC,スバル,2010,14.3,1500,シルバー,あり,48.1
2023年式 日産 ノート 特別仕様車 走行1.3万km 新品タイヤ交換済,日産,2023,1.3,1000,シルバー,あり,173.8
2010年式 スズキ ハスラー ターボ 走行14.9万km ETC,スズキ,2010,14.9,1500,パール,なし,19.5
2010年式 スズキ ジムニー 4WD 走行14.5万km ドライブレコーダー エアコン効き弱い 小キズ多数,スズキ,2010,14.5,1200,黒,なし,19.9
2019年式 ホンダ ヴェゼル ターボ 走行3.9万km ワンオーナー 小キズ多数,ホンダ,2019,3.9,2500,シルバー,なし,124.7
2019年式 マツダ ロードスター S 走行5.3万km ワンオーナー フルセグTV 新品タイヤ交換済 ドライブレコーダー 両側パワースライドドア 小キズ多数,マツダ,2019,5.3,1800,黒,あり,159.0
2022年式 マツダ CX-5 Z 走行0.8万km 純正ナビ 本革シート ETC LEDヘッドライト フルセグTV 小キズ多数 バッテリー要交換,マツダ,2022,0.8,660,青,あり,261.7
2015年式 トヨタ カローラ ハイブリッド 走行9.6万km ワンオーナー LEDヘッドライト 純正ナビ 内装に汚れ 修復歴あり,トヨタ,2015,9.6,1000,黒,あり,35.9
2015年式 日産 リーフ Z 走行6.5万km 両側パワースライドドア,日産,2015,6.5,0,黒,なし,99.5
2019年式 日産 セレナ S 走行3.5万km 両側パワースライドドア サンルーフ 純正ナビ LEDヘッドライト バックカメラ ナビ地図データ古い 修復歴あり 内装に汚れ,日産,2019,3.5,660,シルバー,なし,101.8
2020年式 日産 セレナ 4WD 走行2.3万km,日産,2020,2.3,2500,シルバー,あり,175.8
2021年式 スバル レヴォーグ ハイブリッド 走行6.9万km ドライブレコーダー ワンオーナー サンルーフ 本革シート 衝突被害軽減ブレーキ 修復歴あり,スバル,2021,6.9,2000,赤,なし,209.0
2013年式 トヨタ アクア ハイブリッド 走行11.0万km フルセグTV,トヨタ,2013,11.0,2000,パール,なし,37.2
2018年式 ホンダ ステップワゴン X 走行3.1万km 禁煙車 純正ナビ,ホンダ,2018,3.1,1800,青,あり,159.1
2020年式 日産 ノート 特別仕様車 走行4.4万km,日産,2020,4.4,1200,パール,あり,91.1
2016年式 マツダ CX-5 S 走行9.7万km サンルーフ ディーラー整備記録簿あり バックカメラ 新品タイヤ交換済 ワンオーナー,マツダ,2016,9.7,660,パール,あり,122.1
2018年式 トヨタ アクア 特別仕様車 走行6.7万km 鍵1本のみ,トヨタ,2018,6.7,2500,黒,あり,68.4
2021年式 日産 リーフ G 走行4.9万km ETC ドライブレコーダー,日産,2021,4.9,0,黒,なし,233.0
2018年式 日産 リーフ X 走行4.8万km ディーラー整備記録簿あり 純正ナビ 新品タイヤ交換済 ETC ドライブレコーダー 小キズ多数,日産,2018,4.8,0,青,なし,141.9
2012年式 日産 エクストレイル Z 走行9.4万km ドライブレコーダー 新品タイヤ交換済 衝突被害軽減ブレーキ ワンオーナー 内装に汚れ,日産,2012,9.4,660,シルバー,なし,67.2
2022年式 スバル レヴォーグ G 走行0.8万km 禁煙車 サンルーフ 衝突被害軽減ブレーキ 新品タイヤ交換済,スバル,2022,0.8,1000,シルバー,なし,329.8
2012年式 ホンダ フィット Z 走行9.4万km ワンオーナー 本革シート 両側パワースライドドア 新品タイヤ交換済 バックカメラ 小キズ多数 修復歴あり,ホンダ,2012,9.4,2500,黒,なし,23.7
2014年式 スバル フォレスター Z 走行10.5万km,スバル,2014,10.5,2000,青,なし,73.2
2009年式 日産 エクストレイル G 走行11.4万km 衝突被害軽減ブレーキ ディーラー整備記録簿あり LEDヘッドライト サンルーフ ドライブレコーダー ナビ地図データ古い,日産,2009,11.4,1200,赤,なし,48.8
2018年式 スバル インプレッサ ターボ 走行2.6万km ディーラー整備記録簿あり 本革シート 両側パワースライドドア 小キズ多数 バッテリー要交換,スバル,2018,2.6,1000,黒,なし,110.7
2015年式 ホンダ フィット S 走行7.1万km 両側パワースライドドア 衝突被害軽減ブレーキ 新品タイヤ交換済 バッテリー要交換 エアコン効き弱い,ホンダ,2015,7.1,2500,黒,あり,43.5
2012年式 スバル インプレッサ X 走行9.7万km 内装に汚れ,スバル,2012,9.7,660,青,あり,34.7
2021年式 トヨタ ハリアー 特別仕様車 走行5.0万km,トヨタ,2021,5.0,1000,シルバー,あり,240.2
2015年式 日産 セレナ Z 走行9.8万km,日産,2015,9.8,1200,青,あり,69.5
2014年式 トヨタ アルファード X 走行9.2万km ディーラー整備記録簿あり ワンオーナー バックカメラ エアコン効き弱い 鍵1本のみ,トヨタ,2014,9.2,2500,青,あり,108.3
2018年式 日産 エクストレイル 特別仕様車 走行2.8万km ディーラー整備記録簿あり バッテリー要交換,日産,2018,2.8,1000,黒,あり,150.5
